Sequence,Question,Response,Query (SQL),Query Generation Time (s),Database Fetch Time (s),Response Generation Time (s),Total Time (s),Error
1,บริษัท ADVANC มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"บริษัท ADVANC มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 เท่ากับ 296,633,567 บาท","MATCH (c:Company {symbol: 'ADVANC'})-[:HAS_METRIC]->(m:Metric {type: 'TotalAssets', year: '2019', quarter: '1'}) RETURN m.value AS TotalAssets",1.883184,0.00514531,15.209854,17.098183,
2,บริษัท AOT มีหนี้สินรวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,บริษัท AOT มีหนี้สินรวมในไตรมาสที่ 1 ปี 2019 เท่ากับ 181143997.77 บาท,"MATCH (c:Company {symbol: 'AOT'})-[:HAS_METRIC]->(m:Metric {type: 'TotalLiabilities', year: '2019', quarter: '1'}) RETURN m.value AS TotalLiabilities",2.171337,0.00390768,66.564411,68.739656,
3,กำไรสุทธิของบริษัท BBL ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,Agent stopped due to iteration limit or time limit.,"MATCH (c:Company {symbol: 'BBL'})-[:HAS_METRIC]->(m:Metric {type: 'NetProfitQuarter', year: '2019', quarter: '1'}) RETURN m.value AS NetProfitQuarter",25.787089,0.00399661,408.682225,434.473311,
4,อัตราผลตอบแทนต่อผู้ถือหุ้น (ROE) ของบริษัท BCP ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,อัตราผลตอบแทนต่อผู้ถือหุ้น (ROE) ของบริษัท BCP ในไตรมาสที่ 1 ปี 2019 คือ (213953.0 / 122016169.0) = 0.175 หรือ 17.5%,"MATCH (c:Company {symbol: 'BCP'})-[:HAS_RATIO]->(r:Ratio {type: 'ROE', year: '2019', quarter: '1'}) RETURN r.value AS ROE",12.782859,0.00399542,295.402918,308.189772,
5,สัดส่วนหนี้สินต่อทุน (D/E) ของบริษัท BDMS ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,Agent stopped due to iteration limit or time limit.,"MATCH (c:Company {symbol: 'BDMS'})-[:HAS_RATIO]->(r:Ratio {type: 'DE', year: '2019', quarter: '1'}) RETURN r.value AS DE",13.80263,0.00391841,417.697656,431.504205,
6,รายได้รวมของบริษัท BEM ในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"รายได้รวมของบริษัท BEM ในไตรมาสที่ 1 ปี 2019 เท่ากับ 4,078,247 บาท","MATCH (c:Company {symbol: 'BEM'})-[:HAS_METRIC]->(m:Metric {type: 'TotalRevenueQuarter', year: '2019', quarter: '1'}) RETURN m.value AS TotalRevenueQuarter",12.424336,0.00387549,24.238987,36.667199,
7,กำไรสุทธิของบริษัท BGRIM ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,"กำไรสุทธิของบริษัท BGRIM ในไตรมาสที่ 1 ปี 2019 คือ 5,324,050 บาท","MATCH (c:Company {symbol: 'BGRIM'})-[:HAS_METRIC]->(m:Metric {type: 'NetProfitQuarter', year: '2019', quarter: '1'}) RETURN m.value AS NetProfitQuarter",11.533577,0.00401092,141.206687,152.744275,
8,อัตรากำไรสุทธิ (Net Profit Margin) ของบริษัท BH ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,Agent stopped due to iteration limit or time limit.,"MATCH (c:Company {symbol: 'BH'})-[:HAS_RATIO]->(r:Ratio {type: 'NetProfitMarginQuarter', year: '2019', quarter: '1'})
RETURN r.value AS NetProfitMargin",12.871061,0.00254512,412.798505,425.672112,
9,บริษัท BJC มีรายได้รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"รายได้รวมในไตรมาสที่ 1 ปี 2019 ของบริษัท BJC เท่ากับ 42,317.99 ล้านบาท","MATCH (c:Company {symbol: 'BJC'})-[:HAS_METRIC]->(m:Metric {type: 'TotalRevenueQuarter', year: '2019', quarter: '1'}) RETURN m.value AS TotalRevenueQuarter",12.256228,0.0025444,24.260458,36.519231,
10,ค่าใช้จ่ายรวมของบริษัท BTS ในไตรมาสที่ 1 ปี 2019 เท่าไหร่,ค่าใช้จ่ายรวมของบริษัท BTS ในไตรมาสที่ 1 ปี 2019 คือ TotalExpensesQuarter = 6891194.05 บาท,"MATCH (c:Company {symbol: 'BTS'})-[:HAS_METRIC]->(m:Metric {type: 'TotalExpensesQuarter', year: '2019', quarter: '1'}) RETURN m.value AS TotalExpensesQuarter",11.832295,0.00869632,73.615831,85.456822,
