Sequence,Question,Response,Query (SQL),Query Generation Time (s),Database Fetch Time (s),Response Generation Time (s),Total Time (s),Error
1,บริษัท ADVANC มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"บริษัท ADVANC มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 เท่ากับ 296,633,567 บาท","MATCH (c:Company {symbol: 'ADVANC'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'}) 
MATCH (fs)-[:HAS_ASSETS]->(a:Assets) 
RETURN a.totalAssets AS TotalAssets",1.255282,0.0,2.069413,3.324695,
2,บริษัท AOT มีหนี้สินรวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,บริษัท AOT มีหนี้สินรวมในไตรมาสที่ 1 ปี 2019 เท่ากับ 37643003.03 บาท,"MATCH (c:Company {symbol: 'AOT'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'})
MATCH (fs)-[:HAS_LIABILITIES]->(l:Liabilities)
RETURN l.totalLiabilities AS TotalLiabilities",16.463171,0.0,55.797262,72.260433,
3,กำไรสุทธิของบริษัท BBL ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,ข้อมูลกำไรสุทธิของบริษัท BBL ในไตรมาสที่ 1 ปี 2019 ไม่พบในข้อมูลที่มีให้ หากต้องการทราบข้อมูลนี้ โปรดตรวจสอบจากแหล่งข้อมูลอื่น ๆ เช่น เว็บไซต์ของบริษัท BBL หรือแหล่งข้อมูลทางการเงินอื่น ๆ,"MATCH (c:Company {symbol: 'BBL'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'})
MATCH (fs)-[:HAS_REVENUE]->(r:Revenue)
MATCH (fs)-[:HAS_EXPENSES]->(e:Expenses)
RETURN r.totalRevenueQuarter - e.totalExpensesQuarter AS NetProfit",27.481993,0.00215983,33.362514,60.846667,
4,อัตราผลตอบแทนต่อผู้ถือหุ้น (ROE) ของบริษัท BCP ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,อัตราผลตอบแทนต่อผู้ถือหุ้น (ROE) ของบริษัท BCP ในไตรมาสที่ 1 ปี 2019 คือ 3.48%,"MATCH (c:Company {symbol: 'BCP'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'})
MATCH (fs)-[:HAS_RATIO]->(r:FinancialRatio {type: 'ROE'})
RETURN r.value AS ROE",23.638531,0.0,32.109649,55.748181,
5,สัดส่วนหนี้สินต่อทุน (D/E) ของบริษัท BDMS ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,สัดส่วนหนี้สินต่อทุน (D/E) ของบริษัท BDMS ในไตรมาสที่ 1 ปี 2019 คือ 0.6667,"MATCH (c:Company {symbol: 'BDMS'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'})
MATCH (fs)-[:HAS_RATIO]->(r:FinancialRatio {type: 'DE'})
RETURN r.value AS DebtToEquity",22.971257,0.00685525,35.339473,58.317585,
6,รายได้รวมของบริษัท BEM ในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"ข้อมูลที่ได้รับมีแค่ข้อมูลของงบการเงินของบริษัท BEM ในไตรมาสที่ 1 ปี 2019 แต่ไม่มีข้อมูลรายได้รวมอย่างชัดเจน หากต้องการทราบรายได้รวมของบริษัท BEM ในไตรมาสที่ 1 ปี 2019 จะต้องมีการค้นหาข้อมูลเพิ่มเติม 

(Translation: The provided data only has the financial statement data of BEM in Q1 2019, but it does not explicitly state the total revenue. If you want to know the total revenue of BEM in Q1 2019, additional data search is required.)","MATCH (c:Company {symbol: 'BEM'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'}) 
MATCH (fs)-[:HAS_REVENUE]->(r:Revenue) 
RETURN r.totalRevenueQuarter AS TotalRevenue",22.478164,0.0,49.319218,71.797382,
7,กำไรสุทธิของบริษัท BGRIM ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,"กำไรสุทธิของบริษัท BGRIM ในไตรมาสที่ 1 ปี 2019 คือ 1,397,754 บาท","MATCH (c:Company {symbol: 'BGRIM'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'})
MATCH (fs)-[:HAS_REVENUE]->(r:Revenue)
MATCH (fs)-[:HAS_EXPENSES]->(e:Expenses)
RETURN r.totalRevenueQuarter - e.totalExpensesQuarter AS NetIncome",23.707644,0.0,33.499208,57.206852,
8,อัตรากำไรสุทธิ (Net Profit Margin) ของบริษัท BH ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,อัตรากำไรสุทธิ (Net Profit Margin) ของบริษัท BH ในไตรมาสที่ 1 ปี 2019 คือ 28.68%,"MATCH (c:Company {symbol: 'BH'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'})
MATCH (fs)-[:HAS_RATIO]->(r:FinancialRatio {type: 'Net Profit Margin'})
RETURN r.value AS NetProfitMargin",22.352557,0.00070381,34.235793,56.589054,
9,บริษัท BJC มีรายได้รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"รายได้รวมในไตรมาสที่ 1 ปี 2019 ของบริษัท BJC เท่ากับ 42,317,995 บาท","MATCH (c:Company {symbol: 'BJC'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'})
MATCH (fs)-[:HAS_REVENUE]->(r:Revenue)
RETURN r.totalRevenueQuarter AS TotalRevenue",21.583486,0.00200748,32.360665,53.946159,
10,ค่าใช้จ่ายรวมของบริษัท BTS ในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"ค่าใช้จ่ายรวมของบริษัท BTS ในไตรมาสที่ 1 ปี 2019 เท่ากับ 8,734,096.38 บาท","MATCH (c:Company {symbol: 'BTS'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'})
MATCH (fs)-[:HAS_EXPENSES]->(e:Expenses)
RETURN e.totalExpensesQuarter AS TotalExpenses",22.734508,0.00169396,32.980705,55.716907,
11,บริษัท CBG มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"บริษัท CBG มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 จำนวน 14,462.51 ล้านบาท","MATCH (c:Company {symbol: 'CBG'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'})
MATCH (fs)-[:HAS_ASSETS]->(a:Assets)
RETURN a.totalAssets AS totalAssets",22.744956,0.00309491,31.841974,54.590024,
12,กำไรสุทธิของบริษัท CENTEL ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,"ตามรายงานทางการเงินของบริษัท CENTEL สำหรับไตรมาสที่ 1 ปี 2019 กำไรสุทธิของบริษัทคือ 1,433 ล้านบาท","MATCH (c:Company {symbol: 'CENTEL'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'})
MATCH (fs)-[:HAS_REVENUE]->(r:Revenue)
MATCH (fs)-[:HAS_EXPENSES]->(e:Expenses)
RETURN r.totalRevenueQuarter - e.totalExpensesQuarter AS NetProfit",22.808663,0.00300908,42.244549,65.056221,
13,อัตราผลตอบแทนต่อสินทรัพย์ (ROA) ของบริษัท CPALL ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,อัตราผลตอบแทนต่อสินทรัพย์ (ROA) ของบริษัท CPALL ในไตรมาสที่ 1 ปี 2019 คือ 8.77%,"MATCH (c:Company {symbol: 'CPALL'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'})
MATCH (fs)-[:HAS_RATIO]->(r:FinancialRatio {type: 'ROA'})
RETURN r.value AS ROA",22.617896,0.00193167,33.566916,56.186744,
14,บริษัท CPF มีค่าใช้จ่ายรวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"ค่าใช้จ่ายรวมในไตรมาสที่ 1 ปี 2019 ของบริษัท CPF เท่ากับ 121,323,688 บาท","MATCH (c:Company {symbol: 'CPF'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'}) 
MATCH (fs)-[:HAS_EXPENSES]->(e:Expenses) 
RETURN e.totalExpensesQuarter AS totalExpensesQuarter",22.919245,0.00194621,32.206018,55.127209,
15,บริษัท CPN มีอัตราส่วนหนี้สินต่อทุน (D/E) ในไตรมาสที่ 1 ปี 2019 เท่าไหร่,บริษัท CPN มีอัตราส่วนหนี้สินต่อทุน (D/E) ในไตรมาสที่ 1 ปี 2019 เท่ากับ 1.1166,"MATCH (c:Company {symbol: 'CPN'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'})
MATCH (fs)-[:HAS_RATIO]->(r:FinancialRatio {type: 'DE'})
RETURN r.value AS DebtToEquity",23.260759,0.00199986,33.269788,56.532547,
16,อัตราการหมุนเวียนสินทรัพย์ถาวร (Fixed Asset Turnover) ของบริษัท DELTA ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,ขอโทษนะครับ แต่ไม่พบข้อมูลอัตราการหมุนเวียนสินทรัพย์ถาวรของบริษัท DELTA ในไตรมาสที่ 1 ปี 2019 ในระบบของเรา หากคุณต้องการทราบข้อมูลทางการเงินอื่นๆ ของบริษัท DELTA โปรดสอบถามได้ครับ,"MATCH (c:Company {symbol: 'DELTA'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'})
MATCH (fs)-[:HAS_RATIO]->(r:FinancialRatio {type: 'Fixed Asset Turnover'})
RETURN r.value AS FixedAssetTurnover",22.38519,0.00205541,63.039288,85.426533,
17,บริษัท EA มีรายได้รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"บริษัท EA มีรายได้รวมในไตรมาสที่ 1 ปี 2019 เท่ากับ 3,088,448,000 ดอลลาร์สหรัฐ","MATCH (c:Company {symbol: 'EA'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'}) 
MATCH (fs)-[:HAS_REVENUE]->(r:Revenue)
RETURN r.totalRevenueQuarter AS TotalRevenue",22.666252,0.0020411,34.130457,56.79875,
18,กำไรสุทธิของบริษัท EGCO ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,ข้อมูลที่ท่านถามไม่พบในฐานข้อมูลของเรา หากท่านต้องการรับข้อมูลกำไรสุทธิของบริษัท EGCO ในไตรมาสที่ 1 ปี 2019 เราแนะนำให้ท่านดูรายงานทางการเงินของบริษัท EGCO ในปี 2019 หรือติดต่อกับบริษัทโดยตรงเพื่อรับข้อมูลที่แม่นยำที่สุด,"MATCH (c:Company {symbol: 'EGCO'})-[:HAS_FINANCIAL_STATEMENT]->(fs:FinancialStatement {year: '2019', quarter: '1'})
MATCH (fs)-[:HAS_REVENUE]->(r:Revenue)
MATCH (fs)-[:HAS_EXPENSES]->(e:Expenses)
RETURN r.totalRevenueQuarter - e.totalExpensesQuarter AS NetIncome",23.700545,0.00244427,32.433362,56.136351,
