query_index,query,result,time,ram
1,"MATCH (adv:Company {symbol: 'ADVANC'})-[:HAS_METRIC]->(adv_metric:Metric {type: 'TotalAssets', year: '2019', quarter: '1'})
RETURN adv_metric.value AS ADVANC_TotalAssets","{""ADVANC_TotalAssets"": 296633567.0}",0.2052520513534546,-1.0859375
2,"MATCH (aot:Company {symbol: 'AOT'})-[:HAS_METRIC]->(aot_metric:Metric {type: 'TotalLiabilities', year: '2019', quarter: '1'})
RETURN aot_metric.value AS AOT_TotalLiabilities","{""AOT_TotalLiabilities"": 37643003.03}",0.0008603334426879883,0.00390625
3,"MATCH (bbl:Company {symbol: 'BBL'})-[:HAS_METRIC]->(bbl_metric:Metric {type: 'NetProfitQuarter', year: '2019', quarter: '1'})
RETURN bbl_metric.value AS BBL_NetProfit","{""BBL_NetProfit"": 9028296.0}",0.0008351802825927734,0.0078125
4,"MATCH (bcp:Company {symbol: 'BCP'})-[:HAS_RATIO]->(bcp_ratio:Ratio {type: 'ROE', year: '2019', quarter: '1'})
RETURN bcp_ratio.value AS BCP_ROE","{""BCP_ROE"": 3.4809742874856684}",0.0011512041091918945,0.0
5,"MATCH (bdms:Company {symbol: 'BDMS'})-[:HAS_RATIO]->(bdms_ratio:Ratio {type: 'DE', year: '2019', quarter: '1'})
RETURN bdms_ratio.value AS BDMS_DE_Ratio","{""BDMS_DE_Ratio"": 0.6667299132438345}",0.001101207733154297,0.0
6,"MATCH (bem:Company {symbol: 'BEM'})-[:HAS_METRIC]->(bem_metric:Metric {type: 'TotalRevenueQuarter', year: '2019', quarter: '1'})
RETURN bem_metric.value AS BEM_TotalRevenue","{""BEM_TotalRevenue"": 4078247.0}",0.0007748842239379883,0.0
7,"MATCH (bgrim:Company {symbol: 'BGRIM'})-[:HAS_METRIC]->(bgrim_metric:Metric {type: 'NetProfitQuarter', year: '2019', quarter: '1'})
RETURN bgrim_metric.value AS BGRIM_NetProfit","{""BGRIM_NetProfit"": 532405.0}",0.0007989645004272461,0.0
8,"MATCH (bh:Company {symbol: 'BH'})-[:HAS_RATIO]->(bh_ratio:Ratio {type: 'NetProfitMarginQuarter', year: '2019', quarter: '1'})
RETURN bh_ratio.value AS BH_NetProfitMargin","{""BH_NetProfitMargin"": 22.85438170740107}",0.0010219573974609374,0.0
9,"MATCH (bjc:Company {symbol: 'BJC'})-[:HAS_METRIC]->(bjc_metric:Metric {type: 'TotalRevenueQuarter', year: '2019', quarter: '1'})
RETURN bjc_metric.value AS BJC_TotalRevenue","{""BJC_TotalRevenue"": 42317995.0}",0.0007108688354492187,0.0
10,"MATCH (bts:Company {symbol: 'BTS'})-[:HAS_METRIC]->(bts_metric:Metric {type: 'TotalExpensesQuarter', year: '2019', quarter: '1'})
RETURN bts_metric.value AS BTS_TotalExpenses","{""BTS_TotalExpenses"": 8734096.38}",0.0007143497467041015,0.0
11,"MATCH (cbg:Company {symbol: 'CBG'})-[:HAS_METRIC]->(cbg_metric:Metric {type: 'TotalAssets', year: '2019', quarter: '1'})
RETURN cbg_metric.value AS CBG_TotalAssets","{""CBG_TotalAssets"": 14462513.0}",0.0007001161575317383,0.0
